id,category,type,difficulty,update_required,question,choice_1,choice_2,choice_3,choice_4,answer_index_0based,answer,explanation,source_ids,source_titles,source_urls
EHIME-001,県土・市町・地域区分,single_choice,basic,False,愛媛県の現在の市町数として正しいものはどれか。,10市10町,11市9町,12市8町,13市7町,1,11市9町,愛媛県は現在、11市9町の20市町で構成されている。,S01,愛媛県庁「県内市町情報」,https://www.pref.ehime.jp/page/14990.html
EHIME-002,県土・市町・地域区分,single_choice,basic,False,愛媛県の地域区分として県が示している3区分の組合せはどれか。,東予・中予・南予,北予・中予・南予,東部・中央・西部,山予・海予・島予,0,東予・中予・南予,県は東部の東予、中央部の中予、南西部の南予の3地域に分けている。,S01,愛媛県庁「県内市町情報」,https://www.pref.ehime.jp/page/14990.html
EHIME-003,県土・市町・地域区分,single_choice,basic,False,次のうち、東予地域に含まれる市町の組合せとして正しいものはどれか。,今治市・新居浜市・西条市・四国中央市・上島町,松山市・伊予市・東温市・松前町・砥部町,宇和島市・八幡浜市・大洲市・西予市・愛南町,今治市・松山市・西予市・内子町・上島町,0,今治市・新居浜市・西条市・四国中央市・上島町,東予は今治市、新居浜市、西条市、四国中央市、上島町で構成される。,S01,愛媛県庁「県内市町情報」,https://www.pref.ehime.jp/page/14990.html
EHIME-004,県土・市町・地域区分,single_choice,basic,False,次のうち、中予地域に含まれる市町の組合せとして正しいものはどれか。,今治市・新居浜市・西条市・四国中央市・上島町,松山市・伊予市・東温市・久万高原町・松前町・砥部町,宇和島市・八幡浜市・大洲市・西予市・内子町,松山市・今治市・西条市・伊予市・東温市,1,松山市・伊予市・東温市・久万高原町・松前町・砥部町,中予は松山市、伊予市、東温市、久万高原町、松前町、砥部町で構成される。,S01,愛媛県庁「県内市町情報」,https://www.pref.ehime.jp/page/14990.html
EHIME-005,県土・市町・地域区分,single_choice,basic,False,次のうち、南予地域に含まれる市町の組合せとして正しいものはどれか。,宇和島市・八幡浜市・大洲市・西予市・内子町・伊方町・松野町・鬼北町・愛南町,松山市・伊予市・東温市・久万高原町・松前町・砥部町,今治市・新居浜市・西条市・四国中央市・上島町,大洲市・西条市・東温市・伊方町・愛南町,0,宇和島市・八幡浜市・大洲市・西予市・内子町・伊方町・松野町・鬼北町・愛南町,南予は宇和島市、八幡浜市、大洲市、西予市、内子町、伊方町、松野町、鬼北町、愛南町で構成される。,S01,愛媛県庁「県内市町情報」,https://www.pref.ehime.jp/page/14990.html
EHIME-006,県土・市町・地域区分,single_choice,basic,True,令和7年10月1日現在の愛媛県の面積として正しいものはどれか。,"約3,760平方キロメートル","約5,676平方キロメートル","約7,255平方キロメートル","約9,600平方キロメートル",1,"約5,676平方キロメートル","令和7年10月1日現在の愛媛県の面積は5,675.82平方キロメートルである。",S03,愛媛県庁「全国都道府県市区町村別面積調」,https://www.pref.ehime.jp/page/3009.html
EHIME-007,県土・市町・地域区分,single_choice,standard,True,令和7年10月1日現在の愛媛県の面積の全国順位として正しいものはどれか。,第16位,第21位,第26位,第36位,2,第26位,愛媛県の面積は全国第26位である。,S03,愛媛県庁「全国都道府県市区町村別面積調」,https://www.pref.ehime.jp/page/3009.html
EHIME-008,県土・市町・地域区分,single_choice,basic,False,愛媛県にある石鎚山の標高として正しいものはどれか。,"1,382m","1,582m","1,982m","2,282m",2,"1,982m","石鎚山は標高1,982mで、近畿以西の西日本最高峰とされている。",S05,愛媛県庁「愛媛の水事情 1.地勢と気候」,https://www.pref.ehime.jp/page/5050.html
EHIME-009,県土・市町・地域区分,single_choice,standard,False,愛媛県の海岸線について正しいものはどれか。,約170kmで全国第35位,約700kmで全国第15位,"約1,700kmで全国第5位","約3,000kmで全国第1位",2,"約1,700kmで全国第5位","愛媛県の海岸線は約1,700kmに及び、全国第5位とされている。",S04,愛媛県「第1章 愛媛を取り巻く環境の現状」,https://www.pref.ehime.jp/uploaded/attachment/173901.pdf
EHIME-010,県土・市町・地域区分,single_choice,standard,False,愛媛県の地形について、県資料の説明として最も適切なものはどれか。,県全域が平野で、山地はほとんどない,中央構造線を境に、北側に瀬戸内海沿いの平野、南側に四国山地等が広がる,県北部は日本海に面している,佐田岬半島以南は砂丘海岸が主体である,1,中央構造線を境に、北側に瀬戸内海沿いの平野、南側に四国山地等が広がる,県資料では、中央構造線を境に北側に瀬戸内海沿いの平野、南側に四国山地や四国カルストが広がると説明されている。,S04,愛媛県「第1章 愛媛を取り巻く環境の現状」,https://www.pref.ehime.jp/uploaded/attachment/173901.pdf
EHIME-011,県土・市町・地域区分,single_choice,standard,False,佐田岬半島から南の宇和海沿岸の地形として、県資料に示されている特徴はどれか。,遠浅の砂浜海岸,リアス海岸,氷河地形,干拓平野,1,リアス海岸,県資料では、佐田岬半島から南の宇和海沿岸は入り江の多いリアス海岸とされている。,S04,愛媛県「第1章 愛媛を取り巻く環境の現状」,https://www.pref.ehime.jp/uploaded/attachment/173901.pdf
EHIME-012,県土・市町・地域区分,single_choice,standard,False,平成の市町村合併前、平成11年3月31日現在の愛媛県内市町村数として正しいものはどれか。,30,50,70,90,2,70,平成11年3月31日現在で70あった市町村が合併により再編され、現在の20市町となった。,S01,愛媛県庁「県内市町情報」,https://www.pref.ehime.jp/page/14990.html
EHIME-013,人口・統計,single_choice,basic,True,令和8年4月1日現在の愛媛県の推計人口として正しいものはどれか。,"1,048,018人","1,248,018人","1,448,018人","1,648,018人",1,"1,248,018人","令和8年4月1日現在の愛媛県の総人口は1,248,018人である。",S02,愛媛県庁「愛媛県推計人口」,https://www.pref.ehime.jp/page/3340.html
EHIME-014,人口・統計,single_choice,standard,True,令和8年4月1日現在の愛媛県の世帯数として正しいものはどれか。,"399,177世帯","499,177世帯","599,177世帯","699,177世帯",2,"599,177世帯","令和8年4月1日現在の世帯数は599,177世帯である。",S02,愛媛県庁「愛媛県推計人口」,https://www.pref.ehime.jp/page/3340.html
EHIME-015,人口・統計,single_choice,standard,True,令和8年4月1日現在の愛媛県の人口は前月比でどうなったか。,"4,358人増加","4,358人減少",343人減少,変化なし,1,"4,358人減少","総人口は前月に比べ4,358人減少した。",S02,愛媛県庁「愛媛県推計人口」,https://www.pref.ehime.jp/page/3340.html
EHIME-016,人口・統計,single_choice,standard,True,令和8年4月1日現在の人口動態で、自然動態の内訳として正しいものはどれか。,"出生1,688人、死亡464人","出生464人、死亡1,688人","出生7,258人、死亡10,392人","出生10,392人、死亡7,258人",1,"出生464人、死亡1,688人","自然動態は出生数464人、死亡数1,688人で、1,224人の減少である。",S02,愛媛県庁「愛媛県推計人口」,https://www.pref.ehime.jp/page/3340.html
EHIME-017,人口・統計,single_choice,standard,True,令和8年4月1日現在の人口動態で、社会動態の内訳として正しいものはどれか。,"転入7,258人、転出10,392人","転入10,392人、転出7,258人","転入464人、転出1,688人","転入1,688人、転出464人",0,"転入7,258人、転出10,392人","社会動態は転入数7,258人、転出数10,392人で、3,134人の減少である。",S02,愛媛県庁「愛媛県推計人口」,https://www.pref.ehime.jp/page/3340.html
EHIME-018,人口・統計,single_choice,basic,False,人口統計で「自然動態」が意味するものとして最も適切なものはどれか。,出生と死亡による人口増減,転入と転出による人口増減,就職と退職による人口増減,婚姻と離婚による人口増減,0,出生と死亡による人口増減,県の推計人口では、出生数と死亡数を自然動態として整理している。,S02,愛媛県庁「愛媛県推計人口」,https://www.pref.ehime.jp/page/3340.html
EHIME-019,人口・統計,single_choice,basic,False,人口統計で「社会動態」が意味するものとして最も適切なものはどれか。,出生と死亡による人口増減,転入と転出による人口増減,入学と卒業による人口増減,納税者数の増減,1,転入と転出による人口増減,県の推計人口では、転入数と転出数を社会動態として整理している。,S02,愛媛県庁「愛媛県推計人口」,https://www.pref.ehime.jp/page/3340.html
EHIME-020,人口・統計,single_choice,standard,True,令和2年国勢調査における愛媛県の総人口として正しいものはどれか。,"1,034,841人","1,334,841人","1,634,841人","1,934,841人",1,"1,334,841人","令和2年国勢調査による愛媛県の総人口は1,334,841人である。",S04,愛媛県「第1章 愛媛を取り巻く環境の現状」,https://www.pref.ehime.jp/uploaded/attachment/173901.pdf
EHIME-021,人口・統計,single_choice,standard,True,令和2年国勢調査における愛媛県の総人口の全国順位として正しいものはどれか。,第8位,第18位,第28位,第38位,2,第28位,令和2年国勢調査による総人口は全国第28位とされている。,S04,愛媛県「第1章 愛媛を取り巻く環境の現状」,https://www.pref.ehime.jp/uploaded/attachment/173901.pdf
EHIME-022,人口・統計,single_choice,advanced,True,令和4年度の愛媛県の県内総生産（名目）として、県の主要指標に示されている値はどれか。,"1兆1,381億円","3兆1,381億円","5兆1,381億円","9兆1,381億円",2,"5兆1,381億円","県主要指標では、令和4年度の県内総生産（名目）は5兆1,381億円とされている。",S06,愛媛県庁「えひめの指標」,https://www.pref.ehime.jp/page/35503.html
EHIME-023,産業・経済,single_choice,standard,True,2023年中の愛媛県の製造品出荷額等として正しいものはどれか。,"1兆5,931億円","3兆5,931億円","5兆5,931億円","7兆5,931億円",2,"5兆5,931億円","2023年中の製造品出荷額等は5兆5,931億円である。",S07,愛媛県「2024年経済構造実態調査（製造業）の愛媛県分結果の要約」,https://www.pref.ehime.jp/uploaded/attachment/161947.pdf
EHIME-024,産業・経済,single_choice,standard,True,2023年中の愛媛県の製造品出荷額等の全国順位として正しいものはどれか。,第14位,第24位,第34位,第44位,1,第24位,2023年中の製造品出荷額等は全国第24位である。,S07,愛媛県「2024年経済構造実態調査（製造業）の愛媛県分結果の要約」,https://www.pref.ehime.jp/uploaded/attachment/161947.pdf
EHIME-025,産業・経済,single_choice,standard,True,2023年中の愛媛県の製造品出荷額等で、産業別構成比が最も高い産業はどれか。,非鉄金属,食料品,繊維,電気機械,0,非鉄金属,"製造品出荷額等の産業別構成比では、非鉄金属が1兆4,641億円、26.2％で最も高い。",S07,愛媛県「2024年経済構造実態調査（製造業）の愛媛県分結果の要約」,https://www.pref.ehime.jp/uploaded/attachment/161947.pdf
EHIME-026,産業・経済,single_choice,standard,True,2023年中の愛媛県の製造品出荷額等で、非鉄金属に次いで構成比が高い産業はどれか。,石油石炭,木材,家具,印刷,0,石油石炭,"非鉄金属に次いで、石油石炭が7,529億円、13.5％である。",S07,愛媛県「2024年経済構造実態調査（製造業）の愛媛県分結果の要約」,https://www.pref.ehime.jp/uploaded/attachment/161947.pdf
EHIME-027,産業・経済,single_choice,standard,True,2023年中の愛媛県の製造品出荷額等で、構成比上位4産業の組合せとして正しいものはどれか。,非鉄金属・石油石炭・パルプ紙・輸送用機械,食料品・飲料・家具・印刷,繊維・革製品・家具・玩具,医薬品・精密機械・ゴム・出版,0,非鉄金属・石油石炭・パルプ紙・輸送用機械,上位4産業は非鉄金属、石油石炭、パルプ紙、輸送用機械で、全体の6割弱を占める。,S07,愛媛県「2024年経済構造実態調査（製造業）の愛媛県分結果の要約」,https://www.pref.ehime.jp/uploaded/attachment/161947.pdf
EHIME-028,産業・経済,single_choice,advanced,True,2023年中の愛媛県の製造品出荷額等で、従業者規模別の構成比が最も高い区分はどれか。,1～9人,30～99人,100～299人,300人以上,3,300人以上,従業者規模別では、300人以上が3兆250億円、54.1％で最も高い。,S07,愛媛県「2024年経済構造実態調査（製造業）の愛媛県分結果の要約」,https://www.pref.ehime.jp/uploaded/attachment/161947.pdf
EHIME-029,産業・経済,single_choice,advanced,True,2023年中の愛媛県の製造業従業者数で、従業者規模別構成比が最も高い区分はどれか。,1～9人,30～99人,100～299人,300人以上,1,30～99人,"従業者数の規模別構成比では、30～99人が22,493人、27.6％で最も高い。",S07,愛媛県「2024年経済構造実態調査（製造業）の愛媛県分結果の要約」,https://www.pref.ehime.jp/uploaded/attachment/161947.pdf
EHIME-030,産業・経済,single_choice,advanced,True,2023年中の愛媛県の製造業付加価値額として正しいものはどれか。,"2,975億円","5,975億円","9,975億円","1兆9,975億円",2,"9,975億円","2023年中の付加価値額は9,975億円である。",S07,愛媛県「2024年経済構造実態調査（製造業）の愛媛県分結果の要約」,https://www.pref.ehime.jp/uploaded/attachment/161947.pdf
EHIME-031,産業・経済,single_choice,advanced,True,2023年中の愛媛県の製造業付加価値額で、産業別構成比が最も高い産業はどれか。,パルプ紙,非鉄金属,食料品,繊維,0,パルプ紙,"付加価値額の産業別構成比では、パルプ紙が1,462億円、14.7％で最も高い。",S07,愛媛県「2024年経済構造実態調査（製造業）の愛媛県分結果の要約」,https://www.pref.ehime.jp/uploaded/attachment/161947.pdf
EHIME-032,産業・経済,single_choice,basic,False,県の資料で、今治市の代表的な産業として示されている組合せに最も近いものはどれか。,造船・海運・タオル,石油化学・陶磁器・酒造,紙・水産加工・医薬品,半導体・映画・ワイン,0,造船・海運・タオル,県の資料では、今治市は造船、海運、タオルの町として説明されている。,S38,愛媛県「東予の歴史文化情報冊子：えひめの東に、でかけよう」,https://www.pref.ehime.jp/uploaded/attachment/57212.pdf
EHIME-033,産業・経済,single_choice,basic,False,県の資料で、四国中央市の代表的な産業として示されているものはどれか。,紙産業,織物産業,映画産業,航空機産業,0,紙産業,県資料では、四国中央市は紙産業の集積地として紹介されている。,S38,愛媛県「東予の歴史文化情報冊子：えひめの東に、でかけよう」,https://www.pref.ehime.jp/uploaded/attachment/57212.pdf
EHIME-034,産業・経済,single_choice,advanced,True,県の主要指標で、令和3年6月1日時点の事業所数（公務を除く）として示されている値はどれか。,"21,527事業所","41,527事業所","61,527事業所","81,527事業所",2,"61,527事業所","県主要指標では、令和3年6月1日時点の事業所数（公務を除く）は61,527事業所とされている。",S06,愛媛県庁「えひめの指標」,https://www.pref.ehime.jp/page/35503.html
EHIME-035,農林水産,single_choice,standard,True,令和5年の愛媛県の農業産出額として正しいものはどれか。,495億円,895億円,"1,295億円","2,295億円",2,"1,295億円","令和5年の愛媛県の農業産出額は1,295億円である。",S08,愛媛県「愛媛農業の動向 令和7年度版 Ⅱ農業」,https://www.pref.ehime.jp/uploaded/attachment/156936.pdf
EHIME-036,農林水産,single_choice,standard,True,令和5年の愛媛県農業産出額のうち、構成比が最も高い作物等区分はどれか。,果実,米,野菜,畜産,0,果実,作物別構成比では、果実が42.5％で第1位である。,S08,愛媛県「愛媛農業の動向 令和7年度版 Ⅱ農業」,https://www.pref.ehime.jp/uploaded/attachment/156936.pdf
EHIME-037,農林水産,single_choice,standard,True,令和5年の愛媛県農業産出額のうち、果実の産出額として正しいものはどれか。,150億円,350億円,550億円,750億円,2,550億円,"農業産出額1,295億円のうち果実は550億円である。",S08,愛媛県「愛媛農業の動向 令和7年度版 Ⅱ農業」,https://www.pref.ehime.jp/uploaded/attachment/156936.pdf
EHIME-038,農林水産,single_choice,advanced,True,令和5年の愛媛県農業産出額における構成比として正しいものはどれか。,果実42.5％、畜産23.2％、野菜15.8％、米10.7％,米42.5％、果実23.2％、畜産15.8％、野菜10.7％,野菜42.5％、米23.2％、果実15.8％、畜産10.7％,畜産42.5％、野菜23.2％、米15.8％、果実10.7％,0,果実42.5％、畜産23.2％、野菜15.8％、米10.7％,県資料では、果実42.5％、畜産23.2％、野菜15.8％、米10.7％の順である。,S08,愛媛県「愛媛農業の動向 令和7年度版 Ⅱ農業」,https://www.pref.ehime.jp/uploaded/attachment/156936.pdf
EHIME-039,農林水産,single_choice,basic,False,愛媛県農業の特徴として、県資料に照らして最も適切なものはどれか。,果実、とくにかんきつに特化した生産状況にある,米のみで農業産出額の大半を占める,畜産は行われていない,果樹栽培はほとんどない,0,果実、とくにかんきつに特化した生産状況にある,県資料では、果実、特にかんきつに特化した生産状況にあると説明されている。,S08,愛媛県「愛媛農業の動向 令和7年度版 Ⅱ農業」,https://www.pref.ehime.jp/uploaded/attachment/156936.pdf
EHIME-040,農林水産,single_choice,advanced,True,令和2年の愛媛県の基幹的農業従事者数として正しいものはどれか。,"8,654人","18,654人","28,654人","48,654人",2,"28,654人","令和2年の基幹的農業従事者数は28,654人である。",S08,愛媛県「愛媛農業の動向 令和7年度版 Ⅱ農業」,https://www.pref.ehime.jp/uploaded/attachment/156936.pdf
EHIME-041,農林水産,single_choice,advanced,True,令和2年の愛媛県の基幹的農業従事者に占める65歳以上の割合として正しいものはどれか。,34.0％,54.0％,74.0％,94.0％,2,74.0％,令和2年の基幹的農業従事者に占める65歳以上の割合は74.0％である。,S08,愛媛県「愛媛農業の動向 令和7年度版 Ⅱ農業」,https://www.pref.ehime.jp/uploaded/attachment/156936.pdf
EHIME-042,農林水産,single_choice,basic,True,愛媛県の裸麦について、県資料に示されている地位として正しいものはどれか。,全国一,全国二位,全国三位,生産なし,0,全国一,県資料では、裸麦は全国一とされている。,S08|S10,愛媛県「愛媛農業の動向 令和7年度版 Ⅱ農業」|愛媛県庁「愛媛のふるさと自慢」,https://www.pref.ehime.jp/uploaded/attachment/156936.pdf|https://www.pref.ehime.jp/page/4533.html
EHIME-043,農林水産,single_choice,basic,True,愛媛県の令和5年産キウイフルーツ生産量の全国順位として、県資料に示されているものはどれか。,1位,2位,3位,4位,0,1位,愛媛県のキウイフルーツは令和5年で全国1位と示されている。,S10,愛媛県庁「愛媛のふるさと自慢」,https://www.pref.ehime.jp/page/4533.html
EHIME-044,農林水産,single_choice,standard,True,愛媛県の令和5年産温州みかん生産量の全国順位として、県資料に示されているものはどれか。,1位,2位,3位,4位,1,2位,県資料では、令和5年産温州みかんは全国2位と示されている。,S10,愛媛県庁「愛媛のふるさと自慢」,https://www.pref.ehime.jp/page/4533.html
EHIME-045,農林水産,single_choice,basic,True,愛媛県の令和4年産いよかん生産量の全国順位として、県資料に示されているものはどれか。,1位,2位,3位,4位,0,1位,県資料では、令和4年産いよかんは全国1位と示されている。,S10,愛媛県庁「愛媛のふるさと自慢」,https://www.pref.ehime.jp/page/4533.html
EHIME-046,農林水産,single_choice,standard,True,愛媛県のかんきつ類の品目数について、県資料に示されている内容として正しいものはどれか。,42品目で日本一,20品目で全国5位,10品目で全国10位,品目数は公表されていない,0,42品目で日本一,県資料では、かんきつ類の品目数は42品目で日本一とされている。,S09,愛媛県庁「かんきつ類の統計」,https://www.pref.ehime.jp/page/11418.html
EHIME-047,農林水産,single_choice,standard,False,愛媛県が開発した「紅まどんな」の品種名として正しいものはどれか。,愛媛果試第28号,愛媛果試第38号,愛媛果試第48号,愛媛果試第58号,0,愛媛果試第28号,県資料では、紅まどんなは愛媛果試第28号として示されている。,S08|S09,愛媛県「愛媛農業の動向 令和7年度版 Ⅱ農業」|愛媛県庁「かんきつ類の統計」,https://www.pref.ehime.jp/uploaded/attachment/156936.pdf|https://www.pref.ehime.jp/page/11418.html
EHIME-048,農林水産,single_choice,standard,False,愛媛県が開発した「紅プリンセス」の品種名として正しいものはどれか。,愛媛果試第18号,愛媛果試第28号,愛媛果試第38号,愛媛果試第48号,3,愛媛果試第48号,県資料では、紅プリンセスは愛媛果試第48号として示されている。,S08|S09,愛媛県「愛媛農業の動向 令和7年度版 Ⅱ農業」|愛媛県庁「かんきつ類の統計」,https://www.pref.ehime.jp/uploaded/attachment/156936.pdf|https://www.pref.ehime.jp/page/11418.html
EHIME-049,農林水産,single_choice,advanced,True,令和5年の愛媛県の木材生産量（素材・丸太）として正しいものはどれか。,20.0万立方メートル,40.0万立方メートル,60.0万立方メートル,100.0万立方メートル,2,60.0万立方メートル,令和5年の素材（丸太）生産量は60.0万立方メートルである。,S11,愛媛県「愛媛農業の動向 令和7年度版 Ⅲ林業」,https://www.pref.ehime.jp/uploaded/attachment/156937.pdf
EHIME-050,農林水産,single_choice,standard,True,令和5年の愛媛県のヒノキ素材生産量の全国順位として正しいものはどれか。,1位,2位,5位,12位,1,2位,令和5年の素材生産量は全国12位、そのうちヒノキは全国2位である。,S11,愛媛県「愛媛農業の動向 令和7年度版 Ⅲ林業」,https://www.pref.ehime.jp/uploaded/attachment/156937.pdf
EHIME-051,農林水産,single_choice,standard,True,令和5年の愛媛県の乾しいたけ生産量と全国順位として正しいものはどれか。,10トン・全国14位,50トン・全国8位,100トン・全国4位,500トン・全国1位,2,100トン・全国4位,令和5年の乾しいたけ生産量は100トンで全国4位である。,S11,愛媛県「愛媛農業の動向 令和7年度版 Ⅲ林業」,https://www.pref.ehime.jp/uploaded/attachment/156937.pdf
EHIME-052,農林水産,single_choice,standard,True,令和5年の愛媛県の海面漁船漁業・養殖業の生産量と全国順位として正しいものはどれか。,"13,657トン・全国16位","136,571トン・全国6位","236,571トン・全国1位","1,086トン・全国3位",1,"136,571トン・全国6位","令和5年の海面における漁船漁業・養殖業の生産量は136,571トンで全国6位である。",S12,愛媛県「愛媛農業の動向 令和7年度版 Ⅳ水産業」,https://www.pref.ehime.jp/uploaded/attachment/156938.pdf
EHIME-053,農林水産,single_choice,standard,True,令和5年の愛媛県の漁船漁業・養殖業の産出額と全国順位として正しいものはどれか。,108億円・全国13位,486億円・全国8位,"1,086億円・全国3位","5,086億円・全国1位",2,"1,086億円・全国3位","令和5年の漁船漁業・養殖業の産出額は1,086億円で全国3位である。",S12,愛媛県「愛媛農業の動向 令和7年度版 Ⅳ水産業」,https://www.pref.ehime.jp/uploaded/attachment/156938.pdf
